"source","report_date","state_name","county_name","cases_count"
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Rockwall",1
"https://web.archive.org/web/20250325173922/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-25,"Texas","Travis",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Cochran",8
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Dallam",7
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Dawson",14
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Ector",4
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Gaines",270
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Garza",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Hale",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Hockley",2
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Lamar",10
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Lamb",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Lubbock",23
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Lynn",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Martin",3
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Terry",38
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Yoakum",15
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Andrews",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Harris",3
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Midland",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Rockwall",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Travis",1
"https://www.fox4news.com/news/texas-measles-outbreak-2025-measles-cases-jump-400",2025-03-28,"Texas","Erath",1
